class,baseline_f1,optimized_f1,delta_f1
prohibitory,0.9907120743034056,0.9968847352024922,0.006172660899086635
danger,1.0,1.0,0.0
mandatory,0.9367088607594937,0.9876543209876543,0.0509454602281606
other,0.9423076923076923,0.9807692307692307,0.038461538461538436
