model,clean_macro_f1,avg_robust_macro_f1,worst_case_macro_f1,drop_from_clean
Baseline HOG + SVM,0.9674321568426478,0.9430359273386157,0.8510231123289277,0.024396229504032085
Optimized HOG + SVM,0.9913270717398444,0.951223913947054,0.8593449349179401,0.04010315779279039
